filename,success,confidence,detected_serial,processing_time
IMG-20250813-WA0024.jpg,False,0.0,,0.0
IMG-20250813-WA0025.jpg,False,0.0,,0.0
IMG-20250813-WA0026.jpg,False,0.0,,0.0
IMG-20250813-WA0027.jpg,False,0.0,,0.0
IMG-20250813-WA0028.jpg,False,0.0,,0.0
IMG-20250813-WA0029.jpg,False,0.0,,0.0
IMG-20250813-WA0030.jpg,False,0.0,,0.0
IMG-20250813-WA0031.jpg,False,0.0,,0.0
IMG-20250813-WA0032.jpg,False,0.0,,0.0
IMG-20250813-WA0033.jpg,False,0.0,,0.0
IMG-20250813-WA0034.jpg,False,0.0,,0.0
IMG-20250813-WA0035.jpg,False,0.0,,0.0
IMG-20250813-WA0036.jpg,False,0.0,,0.0
IMG-20250813-WA0037.jpg,False,0.0,,0.0
IMG-20250813-WA0038.jpg,False,0.0,,0.0
IMG-20250813-WA0039.jpg,False,0.0,,0.0
IMG-20250813-WA0040.jpg,False,0.0,,0.0
IMG-20250813-WA0041.jpg,False,0.0,,0.0
IMG-20250813-WA0042.jpg,False,0.0,,0.0
IMG-20250813-WA0043.jpg,False,0.0,,0.0
IMG-20250813-WA0044.jpg,False,0.0,,0.0
IMG-20250813-WA0045.jpg,False,0.0,,0.0
IMG-20250813-WA0046.jpg,False,0.0,,0.0
IMG-20250813-WA0047.jpg,False,0.0,,0.0
IMG-20250813-WA0048.jpg,False,0.0,,0.0
